name,source,category,hunger,saturation
Artichoke,FarmlandCrop,Vegetables,1,1
Asparagus,FarmlandCrop,Vegetables,3,2
Barley,FarmlandCrop,Grain,1,1
Basil,FarmlandCrop,Crops,1,1
Bellpepper,FarmlandCrop,Fruits,3,2
Blackbean,FarmlandCrop,Crops,3,2
Blackberry,FarmlandCrop,Fruits,3,2
Blueberry,FarmlandCrop,Fruits,3,2
Broccoli,FarmlandCrop,Vegetables,3,2
Cabbage,FarmlandCrop,Vegetables,1,1
Cantaloupe,FarmlandCrop,Fruits,3,2
Cauliflower,FarmlandCrop,Vegetables,3,2
Celery,FarmlandCrop,Vegetables,3,2
Chile Pepper,FarmlandCrop,Crops,3,2
Coffee Beans,FarmlandCrop,Crops,3,2
Corn,FarmlandCrop,Grain,3,2
Cranberry,FarmlandCrop,Fruits,3,2
Cucumber,FarmlandCrop,Vegetables,3,2
Currant,FarmlandCrop,Fruits,3,2
Eggplant,FarmlandCrop,Vegetables,3,2
Elderberry,FarmlandCrop,Fruits,3,2
Garlic,FarmlandCrop,Vegetables,1,1
Ginger,FarmlandCrop,Vegetables,,
Grape,FarmlandCrop,Fruits,3,2
Greenbean,FarmlandCrop,Vegetables,3,2
Greenonion,FarmlandCrop,Vegetables,1,1
Honeydew,FarmlandCrop,Fruits,3,2
Hops,FarmlandCrop,Crops,,
Kale,FarmlandCrop,Vegetables,3,2
Kiwi,FarmlandCrop,Fruits,3,2
Leek,FarmlandCrop,Vegetables,3,2
Lettuce,FarmlandCrop,Vegetables,3,2
Mustard,FarmlandCrop,Vegetables,,
Oat,FarmlandCrop,Grain,1,1
Olive,FarmlandCrop,Fruits,3,2
Onion,FarmlandCrop,Vegetables,3,2
Peanut,FarmlandCrop,Crops,1,1
Pepper,FarmlandCrop,Crops,,
Pineapple,FarmlandCrop,Fruits,3,2
Radish,FarmlandCrop,Vegetables,3,2
Raspberry,FarmlandCrop,Fruits,3,2
Rhubarb,FarmlandCrop,Vegetables,3,2
Rice,FarmlandCrop,Grain,1,1
Rutabaga,FarmlandCrop,Vegetables,3,2
Saguaro,FarmlandCrop,Fruits,3,2
Soybean,FarmlandCrop,Vegetables,1,1
Spinach,FarmlandCrop,Vegetables,3,2
Squash,FarmlandCrop,Vegetables,3,2
Strawberry,FarmlandCrop,Fruits,3,2
Sweetpotato,FarmlandCrop,Vegetables,3,2
Tea Leaves,FarmlandCrop,Crops,,
Tomatillo,FarmlandCrop,Vegetables,3,2
Tomato,FarmlandCrop,Vegetables,3,2
Turmeric,FarmlandCrop,Crops,,
Turnip,FarmlandCrop,Vegetables,3,2
Vanilla,FarmlandCrop,Crops,,
Yam,FarmlandCrop,Vegetables,3,2
Zucchini,FarmlandCrop,Vegetables,3,2
Anchovy,Seafood,,1,1
Calamari,Seafood,,1,1
Clam,Seafood,,3,2
Crab,Seafood,,1,1
Glowing Calamari,Seafood,,3,2
Oyster,Seafood,,3,2
Roe,Seafood,,1,1
Shrimp,Seafood,,1,1
Tuna,Seafood,,3,2
Baked Beans,Furnace,,5,7
Baked Sweet Potato,Furnace,,5,7
Baked Yam,Furnace,,5,7
Caramel,Furnace,,,
Cooked Anchovy,Furnace,,4,3
Cooked Bacon,Furnace,,7,9
Cooked Calamari,Furnace,,5,7
Cooked Shrimp,Furnace,,5,7
Cooked Tuna,Furnace,,6,8
Molasses,Furnace,,,
Popcorn,Furnace,,3,2
Raisins,Furnace,,5,7
Toast,Furnace,,7,9
Apple Juice,Juice,,5,7
Cranberry Juice,Juice,,5,7
Grape Juice,Juice,,5,7
Melon Juice,Juice,,5,7
Orange Juice,Juice,,5,7
Pineapple Juice,Juice,,5,7
Saguaro Juice,Juice,,5,7
Tomato Juice,Juice,,5,7
Apricot Jam,Jam,,3,2
Blackberry Jam,Jam,,3,2
Blueberry Jam,Jam,,3,2
Cherry Jam,Jam,,3,2
Elderberry Jam,Jam,,3,2
Grape Jam,Jam,,3,2
Peach Jam,Jam,,3,2
Raspberry Jam,Jam,,3,2
Strawberry Jam,Jam,,3,2
Banana Smoothie,Smoothie,,7,9
Strawberry Smoothie,Smoothie,,7,9
Mango Ice Cream,IceCream,,10,17
Pecan Ice Cream,IceCream,,10,17
Strawberry Ice Cream,IceCream,,10,17
Vanilla Ice Cream,IceCream,,10,17
Apple Pie,Pie,,14,28
Cherry Pie,Pie,,14,28
Pecan Pie,Pie,,14,28
Rhubarb Pie,Pie,,14,28
Paprika,Item,,,
Salt,Item,,,
Olive Oil,Item,,,
Cheese,Item,,5,7
Flour,Item,,,
Butter,Item,,3,2
Noodle,Item,,,
Tofu,Item,,5,7
Chocolate,Item,,5,7
Tortilla,Item,,5,7
Soy Sauce,Item,,,
Dough,Item,,,
Ravioli,Item,,,
Salsa,Item,,5,7
Artichoke Dip,Item,,5,7
Pepperoni,Item,,5,7
Coffee,Drink,,5,7
Lemonade,Drink,,5,7
Limeade,Drink,,5,7
Soy Milk,Drink,,5,7
Kale Smoothie,Drink,,14,28
Fruit Smoothie,Drink,,7,9
Chocolate Milkshake,Drink,,7,9
Beer,Drink,,7,9
Wine,Drink,,7,9
Mead,Drink,,7,9
Rum,Drink,,7,9
Pumpkin Spice Latte,Drink,,14,28
Beef Jerky,Item,,5,7
Pork Jerky,Item,,5,7
Kale Chips,Item,,5,7
Potato Chips,Item,,5,7
Steamed Rice,Item,,5,7
French Fries,Item,,5,7
Sweet Potato Fries,Item,,5,7
Onion Rings,Item,,5,7
Doughnut,Item,,5,7
Cucumber Salad,Soup,,10,17
Caesar Salad,Soup,,10,17
Leafy Salad,Soup,,10,17
Fruit Salad,Soup,,10,17
Veggie Salad,Soup,,10,17
Pork And Beans,Soup,,10,17
Oatmeal,Soup,,7,9
Leek Soup,Soup,,7,9
Yoghurt,Soup,,5,7
Saucy Chips,Soup,,7,9
Roasted Nuts,Item,,5,7
Trail Mix,Item,,10,17
Protein Bar,Item,,10,17
Nougat,Item,,7,9
Scrambled Eggs,Item,,7,9
Buttered Toast,Item,,9,14
Toast With Jam,Item,,9,14
Ham Sandwich,Item,,10,17
Peanut Butter And Jam,Item,,10,17
Blt,Item,,10,17
Grilled Cheese,Item,,7,9
Tuna Sandwich,Item,,10,17
Cheeseburger,Item,,10,17
Hamburger,Item,,10,17
Tofuburger,Item,,10,17
Pizza,Item,,10,17
Supreme Pizza,Item,,18,44
Cheese Pizza,Item,,14,28
Pineapple Pepperoni Pizza,Item,,18,44
Lemon Chicken,Item,,10,17
Fried Chicken,Item,,10,17
Chicken And Noodles,Item,,10,17
Chicken And Dumplings,Item,,10,17
Tofu And Dumplings,Item,,14,28
Spaghetti Squash,Item,,10,17
Chicken And Rice,Item,,10,17
Taco,Item,,10,17
Sushi,Item,,10,17
Egg Roll,Item,,10,17
Cashew Chicken,Item,,14,28
Yam Jam,Item,,14,28
Banana Cream Pie,Item,,14,28
Candy Corn,Item,,5,7
Rum Raisin Ice Cream,Item,,14,28
Cheese Cake,Item,,14,28
Brownies,Item,,10,17
Snicker Doodle,Item,,7,9
Banana Nut Bread,Item,,10,17
Candied Nuts,Item,,5,7
Almond Brittle,Item,,7,9
Oatmeal Cookie,Item,,5,7
Nutty Cookie,Item,,5,7
Burrito,Item,,10,17
Tostada,Item,,10,17
Horchata,Drink,,10,17
Carnitas,Item,,10,17
Fajitas,Item,,10,17
Enchilada,Item,,10,17
Churros,Item,,5,7
Tamales,Item,,14,28
Tres Leche Cake,Item,,18,44
Stuffed Poblanos,Item,,14,28
Chili Relleno,Item,,14,28
Crema,Item,,3,2
Refried Beans,Item,,7,9
Chimichanga,Item,,14,28
Quesadilla,Item,,10,17
Corn Husk,Item,,,
Whipping Cream,Item,,,
Shepherds Pie,Item,,18,44
Beef Wellington,Item,,18,44
Fish And Chips,Item,,10,17
Eton Mess,Item,,10,17
Tea,Drink,,5,7
Cornish Pasty,Item,,10,17
Scones,Item,,10,17
Figgy Pudding,Item,,10,17
Treacle Tart,Item,,10,17
Sticky Toffee Pudding,Item,,14,28
Trifle,Item,,14,28
Water Bottle,Item,,,
Milk Bottle,Item,,,
Ajvar,Item,,7,9
Ajvar Toast,Item,,14,28
Avocado Toast,Item,,10,17
Beef Stew,Item,,14,28
Beef Stir Fry,Item,,14,28
Buttered Green Beans,Item,,10,17
Cheesy Asparagus,Item,,10,17
Chocolate Ice Cream,Item,,14,28
Eggplant Parmesan,Item,,18,44
Fruit Cake,Item,,10,17
Grilled Eggplant,Item,,10,17
Kiwi Sorbet,Item,,7,9
Lemon Coconut Bar,Item,,7,9
Nether Wart Stew,Item,,7,9
Peanut Butter,Item,,5,7
Peanut Butter W Celery,Item,,7,9
Potato Soup,Item,,10,17
Ratatouille,Item,,18,44
Raw Bacon,Item,,1,1
Rhubarb Crisp,Item,,10,17
Roasted Asparagus,Item,,7,9
Roasted Radishes,Item,,7,9
Roasted Squash,Item,,7,9
Roasted Turnips,Item,,7,9
