name,source,hungerCode,category
Artichoke,FarmlandCrop,REG_1,Vegetables
Asparagus,FarmlandCrop,REG_3,Vegetables
Barley,FarmlandCrop,REG_1,Grain
Basil,FarmlandCrop,REG_1,Crops
Bellpepper,FarmlandCrop,REG_3,Fruits
Blackbean,FarmlandCrop,REG_3,Crops
Blackberry,FarmlandCrop,REG_3,Fruits
Blueberry,FarmlandCrop,REG_3,Fruits
Broccoli,FarmlandCrop,REG_3,Vegetables
Cabbage,FarmlandCrop,REG_1,Vegetables
Cantaloupe,FarmlandCrop,REG_3,Fruits
Cauliflower,FarmlandCrop,REG_3,Vegetables
Celery,FarmlandCrop,REG_3,Vegetables
Chile_Pepper,FarmlandCrop,REG_3,Crops
Coffee_Beans,FarmlandCrop,REG_3,Crops
Corn,FarmlandCrop,REG_3,Grain
Cranberry,FarmlandCrop,REG_3,Fruits
Cucumber,FarmlandCrop,REG_3,Vegetables
Currant,FarmlandCrop,REG_3,Fruits
Eggplant,FarmlandCrop,REG_3,Vegetables
Elderberry,FarmlandCrop,REG_3,Fruits
Garlic,FarmlandCrop,REG_1,Vegetables
Ginger,FarmlandCrop,,Vegetables
Grape,FarmlandCrop,REG_3,Fruits
Greenbean,FarmlandCrop,REG_3,Vegetables
Greenonion,FarmlandCrop,REG_1,Vegetables
Honeydew,FarmlandCrop,REG_3,Fruits
Hops,FarmlandCrop,,Crops
Kale,FarmlandCrop,REG_3,Vegetables
Kiwi,FarmlandCrop,REG_3,Fruits
Leek,FarmlandCrop,REG_3,Vegetables
Lettuce,FarmlandCrop,REG_3,Vegetables
Mustard,FarmlandCrop,,Vegetables
Oat,FarmlandCrop,REG_1,Grain
Olive,FarmlandCrop,REG_3,Fruits
Onion,FarmlandCrop,REG_3,Vegetables
Peanut,FarmlandCrop,REG_1,Crops
Pepper,FarmlandCrop,,Crops
Pineapple,FarmlandCrop,REG_3,Fruits
Radish,FarmlandCrop,REG_3,Vegetables
Raspberry,FarmlandCrop,REG_3,Fruits
Rhubarb,FarmlandCrop,REG_3,Vegetables
Rice,FarmlandCrop,REG_1,Grain
Rutabaga,FarmlandCrop,REG_3,Vegetables
Saguaro,FarmlandCrop,REG_3,Fruits
Soybean,FarmlandCrop,REG_1,Vegetables
Spinach,FarmlandCrop,REG_3,Vegetables
Squash,FarmlandCrop,REG_3,Vegetables
Strawberry,FarmlandCrop,REG_3,Fruits
Sweetpotato,FarmlandCrop,REG_3,Vegetables
Tea_Leaves,FarmlandCrop,,Crops
Tomatillo,FarmlandCrop,REG_3,Vegetables
Tomato,FarmlandCrop,REG_3,Vegetables
Turmeric,FarmlandCrop,,Crops
Turnip,FarmlandCrop,REG_3,Vegetables
Vanilla,FarmlandCrop,,Crops
Yam,FarmlandCrop,REG_3,Vegetables
Zucchini,FarmlandCrop,REG_3,Vegetables
Almond,TreeCrop,REG_3,Nuts
Apple,TreeCrop,,Fruits
Apricot,TreeCrop,REG_3,Fruits
Avocado,TreeCrop,REG_3,Fruits
Banana,TreeCrop,REG_3,Fruits
Cashew,TreeCrop,REG_1,Crops
Cherry,TreeCrop,REG_3,Fruits
Coconut,TreeCrop,REG_1,Fruits
Date,TreeCrop,REG_3,Fruits
Dragonfruit,TreeCrop,REG_3,Fruits
Fig,TreeCrop,REG_3,Fruits
